business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to dry pea and bean farming.,40983.08,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to oilseed (except soybean) farming.,32370.94,BioHarvest,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to citrus (except orange) groves.,30870.68,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to dry pea and bean farming.,20565.24,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to soybean farming.,21821.68,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to hog and pig farming.,47964.25,EcoFarms,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to strawberry farming.,19563.88,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to other food crops grown under cover.,8401.83,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to tree nut farming.,32842.16,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to dry pea and bean farming.,16369.61,BioHarvest,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to peanut farming.,34079.09,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to turkey production.,45473.6,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to cattle feedlots.,34458.65,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to all other animal production.,28252.93,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to dry pea and bean farming.,42594.71,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to orange groves.,26550.48,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to rice farming.,12509.33,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to other aquaculture.,15760.71,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to hay farming.,21189.55,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to other vegetable (except potato) and melon farming.,46467.03,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to floriculture production.,31696.25,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to finfish farming and fish hatcheries.,4242.05,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to all other grain farming.,35192.27,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to strawberry farming.,42059.19,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to dry pea and bean farming.,44975.47,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to berry (except strawberry) farming.,12425.24,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to sugarcane farming.,42176.93,EcoFarms,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to strawberry farming.,6036.98,AgriCorp,Procured for strawberry farming operations.,Strawberry Farming
Activities related to tobacco farming.,43164.71,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to shellfish farming.,43263.81,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other noncitrus fruit farming.,28193.96,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to strawberry farming.,21277.7,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to all other grain farming.,35575.44,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to other poultry production.,35436.17,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to shellfish farming.,14691.3,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to oilseed (except soybean) farming.,47964.26,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to apiculture.,24264.73,CropGen,Procured for apiculture operations.,Apiculture
Activities related to horses and other equine production.,26715.09,FreshFields,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to chicken egg production.,19703.8,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to turkey production.,1070.32,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to sheep farming.,40275.65,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to sugar beet farming.,37852.44,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to apple orchards.,11928.21,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to other food crops grown under cover.,16209.93,FreshFields,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to mushroom production.,25992.18,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to dry pea and bean farming.,40266.67,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to oilseed and grain combination farming.,43093.8,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to chicken egg production.,30206.84,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to apiculture.,47332.36,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to tobacco farming.,17988.15,EcoFarms,Procured for tobacco farming operations.,Tobacco Farming
Activities related to strawberry farming.,4814.78,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to horses and other equine production.,46194.24,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to other noncitrus fruit farming.,21596.0,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to fur-bearing animal and rabbit production.,17711.83,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to all other animal production.,39247.36,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to goat farming.,32135.37,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to hay farming.,28977.42,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to fur-bearing animal and rabbit production.,35613.98,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to other aquaculture.,16181.38,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to citrus (except orange) groves.,9951.13,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to dairy cattle and milk production.,26583.87,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to other food crops grown under cover.,41761.04,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to berry (except strawberry) farming.,17563.23,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to sugarcane farming.,31428.32,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to peanut farming.,24373.11,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to floriculture production.,32849.35,EcoFarms,Procured for floriculture production operations.,Floriculture Production
Activities related to floriculture production.,45823.09,AgriCorp,Procured for floriculture production operations.,Floriculture Production
Activities related to soybean farming.,16370.13,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to fur-bearing animal and rabbit production.,41008.8,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to potato farming.,29723.7,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to strawberry farming.,29649.74,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to all other animal production.,27225.29,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to dry pea and bean farming.,6161.54,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to tree nut farming.,1158.09,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to apiculture.,3390.28,CropGen,Procured for apiculture operations.,Apiculture
Activities related to rice farming.,48452.33,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to chicken egg production.,6576.48,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to citrus (except orange) groves.,2163.04,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to fur-bearing animal and rabbit production.,47407.43,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sheep farming.,24463.64,AgriCorp,Procured for sheep farming operations.,Sheep Farming
Activities related to hay farming.,22642.83,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to sheep farming.,15341.8,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to other noncitrus fruit farming.,7387.44,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to poultry hatcheries.,49314.75,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to wheat farming.,25723.24,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to sheep farming.,45905.79,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to sugarcane farming.,22326.09,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to all other miscellaneous crop farming.,19511.48,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to finfish farming and fish hatcheries.,24621.12,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to all other grain farming.,46591.03,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to tobacco farming.,12800.69,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to all other miscellaneous crop farming.,9326.53,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to dual-purpose cattle ranching and farming.,34521.38,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to mushroom production.,3015.9,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to turkey production.,8928.81,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to tobacco farming.,44755.77,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to tobacco farming.,1838.96,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to broilers and other meat type chicken production.,49333.87,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to peanut farming.,45257.49,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to broilers and other meat type chicken production.,28520.93,BioHarvest,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to dairy cattle and milk production.,38006.17,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to other poultry production.,8699.17,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to apiculture.,11358.52,CropGen,Procured for apiculture operations.,Apiculture
Activities related to finfish farming and fish hatcheries.,31283.37,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to sheep farming.,19551.07,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to sugarcane farming.,28302.8,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to rice farming.,11390.93,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to sugar beet farming.,2853.66,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to berry (except strawberry) farming.,17605.52,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to fur-bearing animal and rabbit production.,44953.27,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to cotton farming.,18531.53,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to oilseed and grain combination farming.,6649.5,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to apiculture.,40366.31,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to finfish farming and fish hatcheries.,22714.11,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to floriculture production.,38783.55,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to floriculture production.,6202.39,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to cotton farming.,31925.03,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to citrus (except orange) groves.,14207.82,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to broilers and other meat type chicken production.,25906.21,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to all other grain farming.,40645.74,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to nursery and tree production.,12199.66,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to strawberry farming.,6665.29,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to wheat farming.,8213.84,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to horses and other equine production.,43443.92,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to cattle feedlots.,28405.26,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to hay farming.,47098.86,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to chicken egg production.,48971.9,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to hog and pig farming.,23401.18,FreshFields,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to dry pea and bean farming.,35750.03,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to mushroom production.,16075.01,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to beef cattle ranching and farming.,24085.68,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other poultry production.,13630.37,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to tobacco farming.,24516.54,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to fur-bearing animal and rabbit production.,20535.99,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to apiculture.,6150.37,CropGen,Procured for apiculture operations.,Apiculture
Activities related to cotton farming.,34811.11,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to all other animal production.,6452.01,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to strawberry farming.,13287.94,AgriCorp,Procured for strawberry farming operations.,Strawberry Farming
Activities related to cattle feedlots.,23126.8,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to orange groves.,24481.18,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to oilseed (except soybean) farming.,10648.06,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to corn farming.,14372.4,CropGen,Procured for corn farming operations.,Corn Farming
Activities related to other poultry production.,15527.0,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to turkey production.,30902.9,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to citrus (except orange) groves.,4103.79,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to beef cattle ranching and farming.,48925.14,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to wheat farming.,48482.31,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to hay farming.,48062.9,EcoFarms,Procured for hay farming operations.,Hay Farming
Activities related to soybean farming.,49227.57,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to other poultry production.,49457.26,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to fruit and tree nut combination farming.,4544.68,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other aquaculture.,23981.77,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to potato farming.,14661.06,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to other poultry production.,11808.36,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to peanut farming.,24805.32,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to dry pea and bean farming.,33691.06,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to nursery and tree production.,2750.8,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to potato farming.,23437.56,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to peanut farming.,13744.79,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to broilers and other meat type chicken production.,32233.64,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to dairy cattle and milk production.,6949.47,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to fur-bearing animal and rabbit production.,16100.9,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to hay farming.,10160.46,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to poultry hatcheries.,48325.62,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to chicken egg production.,48106.46,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to other food crops grown under cover.,30032.3,BioHarvest,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to nursery and tree production.,13715.75,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to tobacco farming.,12384.1,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other poultry production.,32525.0,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to other noncitrus fruit farming.,27239.74,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to wheat farming.,29675.8,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to nursery and tree production.,5549.45,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to other poultry production.,2666.28,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to fur-bearing animal and rabbit production.,28873.31,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to all other miscellaneous crop farming.,22684.44,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to citrus (except orange) groves.,31010.59,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to hay farming.,20927.63,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to apiculture.,23824.39,CropGen,Procured for apiculture operations.,Apiculture
Activities related to fruit and tree nut combination farming.,15945.81,AgriCorp,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to grape vineyards.,35418.66,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to fruit and tree nut combination farming.,8496.11,AgriCorp,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to all other miscellaneous crop farming.,24654.18,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to shellfish farming.,2091.26,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to nursery and tree production.,24575.9,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to berry (except strawberry) farming.,7651.29,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to horses and other equine production.,11558.63,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to apiculture.,5503.75,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to orange groves.,32452.55,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to apple orchards.,9571.72,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to oilseed and grain combination farming.,35453.84,AgriCorp,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to rice farming.,5257.91,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to horses and other equine production.,17780.77,BioHarvest,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to floriculture production.,20772.83,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to other food crops grown under cover.,4598.73,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to poultry hatcheries.,18715.15,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to tree nut farming.,20813.54,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to grape vineyards.,14171.27,CropGen,Procured for grape vineyards operations.,Grape Vineyards
Activities related to peanut farming.,29288.83,CropGen,Procured for peanut farming operations.,Peanut Farming
Activities related to oilseed and grain combination farming.,38040.08,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to apple orchards.,13531.41,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to all other animal production.,47762.2,EcoFarms,Procured for all other animal production operations.,All Other Animal Production
Activities related to tobacco farming.,1338.81,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to all other grain farming.,21286.16,FreshFields,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to cattle feedlots.,21992.76,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other food crops grown under cover.,44734.79,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to peanut farming.,27775.77,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to apple orchards.,46498.91,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to floriculture production.,38764.37,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to sugarcane farming.,39847.81,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to strawberry farming.,17226.41,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to other noncitrus fruit farming.,35192.6,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other poultry production.,20340.5,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to other poultry production.,18026.92,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other grain farming.,48532.83,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to citrus (except orange) groves.,29196.44,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to sugar beet farming.,22614.97,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to sugar beet farming.,26735.26,BioHarvest,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to broilers and other meat type chicken production.,19009.07,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to all other grain farming.,30136.66,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to strawberry farming.,12164.24,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to tobacco farming.,22418.31,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to turkey production.,49775.42,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to beef cattle ranching and farming.,36249.87,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to dairy cattle and milk production.,35836.58,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to all other grain farming.,29447.02,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to shellfish farming.,30226.84,BioHarvest,Procured for shellfish farming operations.,Shellfish Farming
Activities related to dairy cattle and milk production.,3902.27,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to corn farming.,2558.26,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to wheat farming.,4999.64,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to soybean farming.,40292.43,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to dairy cattle and milk production.,21747.92,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to orange groves.,2179.16,AgriCorp,Procured for orange groves operations.,Orange Groves
Activities related to dry pea and bean farming.,34333.68,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to dual-purpose cattle ranching and farming.,17455.72,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to sugar beet farming.,30687.68,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to orange groves.,22733.89,FreshFields,Procured for orange groves operations.,Orange Groves
Activities related to shellfish farming.,20066.21,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to sheep farming.,47888.7,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to other noncitrus fruit farming.,45410.51,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to goat farming.,28367.62,CropGen,Procured for goat farming operations.,Goat Farming
Activities related to corn farming.,4995.65,BioHarvest,Procured for corn farming operations.,Corn Farming
Activities related to strawberry farming.,18725.14,EcoFarms,Procured for strawberry farming operations.,Strawberry Farming
Activities related to shellfish farming.,25029.59,FreshFields,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other aquaculture.,42755.47,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to oilseed (except soybean) farming.,44697.7,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to other aquaculture.,20991.14,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to dry pea and bean farming.,22685.68,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to cotton farming.,1481.26,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to tree nut farming.,26156.36,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to rice farming.,2931.21,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to citrus (except orange) groves.,45923.42,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to other food crops grown under cover.,30661.82,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to cotton farming.,46242.12,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to fur-bearing animal and rabbit production.,10952.93,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to chicken egg production.,22516.9,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to broilers and other meat type chicken production.,15286.99,BioHarvest,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to oilseed and grain combination farming.,24544.07,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to strawberry farming.,40477.56,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to soybean farming.,29151.51,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to citrus (except orange) groves.,3735.71,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to turkey production.,32491.9,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to soybean farming.,21005.88,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to oilseed (except soybean) farming.,3125.19,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to fur-bearing animal and rabbit production.,39885.51,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sugarcane farming.,49345.3,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to sheep farming.,25247.83,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to turkey production.,39317.59,FreshFields,Procured for turkey production operations.,Turkey Production
